NAME,SPECT_TYPE
V404 Vul  ,                 
V427 Peg  ,                 
SX Del    ,                 
V403 Vul  ,                 
LY Del    ,                 
VX Cet    ,F                
R Cet     ,M4e-M9           
RS Cet    ,G                
del Cet   ,B2IV             
FT Cet    ,K0V              
DW Cet    ,                 
FR Cet    ,A0III            
KK Cet    ,                 
V625 Peg  ,                 
DW Peg    ,M6e              
V442 Peg  ,M3.5             
V411 Peg  ,                 
V516 Vul  ,                 
BQ Peg    ,                 
BP Peg    ,A0               
GI Peg    ,M6               
CT Peg    ,M7               
V721 Peg  ,                 
CL Peg    ,                 
DD Peg    ,M6               
V726 Peg  ,                 
CP Peg    ,                 
V391 Peg  ,                 
IS Peg    ,                 
V494 Peg  ,                 
V481 Peg  ,                 
V502 Peg  ,                 
V723 Peg  ,M6               
RX Peg    ,"C4,4J(N3)        "
V485 Peg  ,                 
AX Peg    ,M0:              
DX Peg    ,M6               
OU Peg    ,                 
AW Peg    ,A5Ve+F2:pe       
OP Peg    ,                 
CS Peg    ,                 
RR Peg    ,M4e-M8e          
V468 Peg  ,                 
VX Peg    ,M7               
CO Peg    ,                 
AV Peg    ,A7-F6            
V457 Peg  ,                 
V469 Peg  ,                 
CX Peg    ,                 
DT Peg    ,M4-M8            
OQ Peg    ,                 
CG Peg    ,A7-F6            
V712 Peg  ,                 
CZ Peg    ,                 
CM Peg    ,                 
DR Peg    ,M6               
CE Peg    ,                 
BZ Peg    ,                 
BX Peg    ,G4-G5            
KW Peg    ,                 
V445 Peg  ,                 
CN Peg    ,                 
V365 Peg  ,                 
CH Peg    ,                 
V711 Peg  ,M6.5             
ET Peg    ,A8-F6            
QW Peg    ,                 
QR Peg    ,                 
V542 Peg  ,                 
QV Peg    ,                 
MO Peg    ,                 
V637 Peg  ,                 
BD Peg    ,M6-M8            
QX Peg    ,                 
BF Peg    ,                 
EW Peg    ,M6.5             
V642 Peg  ,                 
GL Peg    ,M7               
AD Peg    ,M5-M7            
V644 Peg  ,                 
SS Peg    ,M6e-M7e          
V736 Peg  ,                 
ST Peg    ,M6e              
MQ Peg    ,                 
V661 Peg  ,                 
PT Peg    ,                 
BF Vul    ,M4               
V509 Vul  ,                 
V591 Vul  ,M7               
V550 Vul  ,                 
FH Vul    ,                 
FK Vul    ,                 
V344 Del  ,                 
QY Del    ,                 
V343 Del  ,                 
LS Del    ,                 
X Del     ,M4e-M6e          
DP Del    ,                 
HY Del    ,                 
V366 Del  ,F8               
GX Del    ,                 
KY Del    ,M5               
BP Del    ,                 
LQ Del    ,M6               
II Del    ,                 
ES Del    ,M10              
EP Del    ,                 
AO Del    ,M                
LU Del    ,                 
MY Del    ,                 
LR Del    ,A0p              
AR Del    ,                 
AQ Del    ,M4               
U Del     ,M5II-III         
KP Del    ,M5               
KO Boo    ,                 
KS Boo    ,                 
GY Boo    ,K0V              
IX Boo    ,                 
LM Boo    ,                 
V360 Boo  ,                 
IO Boo    ,                 
CS Boo    ,                 
AD Boo    ,G0               
V362 Boo  ,                 
UV Boo    ,F5V              
RX Boo    ,M6.5e-M8IIIe     
V352 Boo  ,                 
IY Boo    ,                 
DX Boo    ,M1III            
R Boo     ,M3e-M8e          
IU Boo    ,                 
KW Boo    ,                 
