     K5ea             : 3
     C4,5(N)          : 3
     F6II             : 3
     K8V              : 3
     B3n+B0           : 3
     G5-G8ea          : 3
     M5-7             : 3
     A-G              : 3
     K5e(T)           : 3
     A9III-IV         : 3
     F6Iab-G6         : 3
     M6.5e-M9         : 3
     F5IIIea          : 3
     M6IIIe           : 3
     B1IV             : 3
     B3Vpeq           : 3
     F8V+K1           : 3
     C5,3e-C7,4e(Npe) : 3
     B0IIIn           : 3
     M3-M8e           : 3
     F1V+K3IV-V       : 3
     C(Np)            : 3
     F5eIb(shell)     : 3
     C4,4(N)          : 3
     B3V+B9           : 3
     A5.0-F0.5        : 3
     F1:              : 3
     K0-K4Ve(T)       : 3
     M3-4             : 3
     M4p              : 3
     B1IVe+G8III:     : 3
     B3pe+K1III       : 3
     B9VpSi           : 3
     G2e-G8(M2)       : 3
     B5:p             : 3
     M0I              : 3
     B1V+B7V          : 3
     sd:B             : 3
     S5,2.5e-S7,2e:   : 3
     Se(M)            : 3
     C6-,4(R)         : 3
     C4+(N)           : 3
     M1Iab            : 3
     A5+A2            : 3
     kA3hF2mA3V       : 3
     BA               : 3
     B8V+A1V          : 3
     G5II             : 3
     GVe(T)-M0Ve      : 3
     B0pe             : 3
     G-K              : 3
     M1:              : 3
     F3IV             : 3
     A0p(Sr-Eu)       : 3
     S5,8(Nb)         : 3
     M6II             : 3
     B1IV-V           : 3
     A1V+G8/K1III     : 3
     K5Ib+A           : 3
     M4e-M6eIIIa:     : 3
     F6-G4Ib          : 3
     F8/G0e           : 3
     M2-4Ia-Iab       : 3
     B1/B2Ib/IInne    : 3
     K4.5Ve-K7        : 3
     G8Ve             : 3
     A8IV-V:+K0III:   : 3
     K2Ve+K2Ve        : 3
     M5e:             : 3
     G2-G8            : 3
     F-G:             : 3
     F6-F7            : 3
     F9               : 3
     DA6              : 3
     B2V:nn           : 3
     C4,5(R6)         : 3
     F8p              : 3
     K0-K6IVe         : 3
     G9V              : 3
     F9-K5            : 3
     K5.5Ve           : 3
     C5,5J(N)         : 3
     S6,3e:(M4e-M6.5e : 3
     M7:              : 3
     G8Vp+G8Vp        : 3
     M0Ve             : 3
     C4,3-5,4e(Ne)    : 3
     A4p(Sr-Cr-Eu)    : 3
     F3-F4            : 3
     F6Ib             : 3
     S3e              : 3
     S2,9e-S8,9e(Tc)  : 3
     M7e(C)           : 3
     K0-M3eIa         : 3
     Am               : 3
     C(R4)            : 3
     M0-M4            : 3
     B5IIIpe          : 3
     C0,1-C3,2e(K0-R0 : 3
     B5Ia             : 3
     pec(UG)+M3       : 3
     A4               : 3
     B2Vnne           : 3
     F0hb             : 3
     M4.5e-M9:e       : 3
     O6V((f))+O6V((f) : 3
     K3.5Ve           : 3
     K4Ve-M0.5        : 3
     G8III+K0III      : 3
     A2ea             : 3
     M6II I           : 3
     M3e-M6e:         : 3
     F6Ib-G5Ib        : 3
     B2/B3III/IV      : 3
     M8.5             : 3
     WN4/WC           : 3
     A7-F7            : 3
     K0-K1III-IVea    : 3
     M7e-M8e          : 3
     F2IV:            : 3
     F5-G3            : 3
     A4-F4            : 3
     A7-F6:           : 3
     C5,2(N)          : 3
     F5-G6Ib          : 3
     A2p(Sr-Cr-Mn)    : 3
     B1:III:nne       : 2
     M6.5e-M8         : 2
     M3.4Ia           : 2
     M8:e             : 2
     C(Ne)            : 2
     F0Ib-G5Ib        : 2
     C-S:             : 2
     N                : 2
     M6IIIe-M8e       : 2
     M9III            : 2
     A1V+A1V          : 2
     F6Ib-G6Ib        : 2
     F8:e-K3:e        : 2
     Ap(Eu-Cr)        : 2
     M3:III:          : 2
     A1m              : 2
     B1IVe            : 2
     C4,5             : 2
     A3/5m            : 2
     F5III            : 2
     B9+A0            : 2
     O9.5(III-V)ep    : 2
     M4e-M5.5:e       : 2
     A:               : 2
     K2IIIe:          : 2
     C3:,4J(R5)       : 2
     G2IV-V+K0IV      : 2
     DAwke+M1.5V      : 2
     B1e              : 2
     M1IIIe+sdB       : 2
     B8eqIa+B1.5V     : 2
     G:ea             : 2
     M2III:           : 2
     G0-G4            : 2
     M4e-M10          : 2
     B5Vep            : 2
     K0IV-V           : 2
